연도,월,지역명,평당분양가격,전용면적
2016,4,제주,9081.6,60㎡~85㎡
2016,4,제주,8992.5,85㎡~102㎡
2016,4,제주,8586.6,102㎡~
2016,5,서울,20671.199999999997,모든면적
2016,5,서울,21905.399999999998,60㎡
2016,5,서울,20476.5,60㎡~85㎡
2016,5,서울,25492.5,85㎡~102㎡
2016,5,서울,20964.899999999998,102㎡~
2016,5,인천,10490.699999999999,모든면적
2016,5,인천,10965.9,60㎡
2016,5,인천,10385.099999999999,60㎡~85㎡
2016,5,인천,11111.099999999999,85㎡~102㎡
2016,5,인천,13833.599999999999,102㎡~
2016,5,경기,11361.9,모든면적
2016,5,경기,12276.0,60㎡
2016,5,경기,11361.9,60㎡~85㎡
2016,5,경기,11121.0,85㎡~102㎡
2016,5,경기,13054.8,102㎡~
2016,5,부산,10388.4,모든면적
2016,5,부산,9824.1,60㎡
2016,5,부산,10134.3,60㎡~85㎡
2016,5,부산,10216.8,85㎡~102㎡
2016,5,부산,11668.8,102㎡~
2016,5,대구,10335.599999999999,모든면적
2016,5,대구,11170.5,60㎡
2016,5,대구,10447.8,60㎡~85㎡
2016,5,대구,8378.699999999999,85㎡~102㎡
2016,5,대구,9051.9,102㎡~
2016,5,광주,8982.6,모든면적
2016,5,광주,8471.1,60㎡
2016,5,광주,8985.9,60㎡~85㎡
2016,5,광주,9088.199999999999,85㎡~102㎡
2016,5,광주,11609.4,102㎡~
2016,5,대전,8134.5,모든면적
2016,5,대전,8520.6,60㎡
2016,5,대전,8009.099999999999,60㎡~85㎡
2016,5,대전,,85㎡~102㎡
2016,5,대전,,102㎡~
2016,5,울산,10154.099999999999,모든면적
2016,5,울산,8580.0,60㎡
2016,5,울산,10164.0,60㎡~85㎡
2016,5,울산,8787.9,85㎡~102㎡
2016,5,울산,9791.1,102㎡~
2016,5,세종,8844.0,모든면적
2016,5,세종,8764.8,60㎡
2016,5,세종,8906.699999999999,60㎡~85㎡
2016,5,세종,8758.199999999999,85㎡~102㎡
2016,5,세종,8956.199999999999,102㎡~
2016,5,강원,6986.099999999999,모든면적
2016,5,강원,6972.9,60㎡
2016,5,강원,7095.0,60㎡~85㎡
2016,5,강원,,85㎡~102㎡
2016,5,강원,7553.7,102㎡~
2016,5,충북,6534.0,모든면적
2016,5,충북,6352.5,60㎡
2016,5,충북,6679.2,60㎡~85㎡
2016,5,충북,7510.799999999999,85㎡~102㎡
2016,5,충북,7494.299999999999,102㎡~
2016,5,충남,7147.799999999999,모든면적
2016,5,충남,7593.299999999999,60㎡
2016,5,충남,7095.0,60㎡~85㎡
2016,5,충남,8428.199999999999,85㎡~102㎡
2016,5,충남,8705.4,102㎡~
2016,5,전북,6418.5,모든면적
2016,5,전북,6299.7,60㎡
2016,5,전북,6451.5,60㎡~85㎡
2016,5,전북,7487.7,85㎡~102㎡
2016,5,전북,7662.599999999999,102㎡~
2016,5,전남,6359.099999999999,모든면적
